date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
3/1/2021,AK,300,,10,,1279,1279,25,2,,,,0,,,1627988,,5,56339,,350,0,,,,,67948,,,0,1698031,18356,,,,,,0,1698031,18356,
3/1/2021,AL,9931,7789,2,2142,45648,45648,651,220,2651,,1905141,1450,,,,1508,,493769,386933,517,0,,,,,,285130,,0,2292074,1858,,,117746,,2292074,1858,,0,
3/1/2021,AR,5250,4257,7,993,14763,14763,441,0,,173,2444369,2512,,,2444369,1520,84,322509,254128,94,0,,,,80980,,313002,,0,2698497,2610,,,,464239,,0,2698497,2610,
3/1/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0,
3/1/2021,AZ,15979,14100,-1,1879,57589,57589,1241,-10,,382,3002212,5381,,,,,196,817821,762652,1039,0,,,,,,,,0,7682489,19066,575979,,439644,,3764864,6365,7682489,19066,
3/1/2021,CA,52194,,215,,,,5409,0,,1518,,0,,,,,,3479078,3479078,3516,0,,,,,,,,0,48712676,243570,,,,,,0,48712676,243570,
3/1/2021,CO,5952,5218,1,734,23550,23550,427,74,,,2175502,2874,358510,,,,,429839,406219,1536,0,59574,,,,,,6229855,13654,6229855,13654,420020,,,,2581721,4366,,0,
3/1/2021,CT,7651,6280,29,1371,,,417,0,,,,0,,,6074561,,,282626,263448,2680,0,,21643,,,320670,,,0,6403426,104149,,381930,,,,0,6403426,104149,
3/1/2021,DC,1019,,2,,,,168,0,,46,,0,,,,,25,40684,,86,0,,,,,,29019,1231593,3234,1231593,3234,,,,,436243,575,,0,
3/1/2021,DE,1422,1286,0,136,,,151,0,,23,539551,907,,,,,,87080,82476,281,0,,,,,90549,,1400454,4870,1400454,4870,,,,,626631,1188,,0,
3/1/2021,FL,31556,,150,,80659,80659,3686,87,,,9192789,7255,847365,803582,16528453,,,1875818,1524995,1664,0,176911,,166506,,2458948,,21784686,22888,21784686,22888,1024780,,970437,,11068607,8919,19078033,22915,
3/1/2021,GA,17376,15148,81,2228,56089,56089,2348,50,9132,,,0,,,,,,1008660,819730,2139,0,75711,162411,,,795852,,,0,7215169,13195,477400,1406064,,,,0,7215169,13195,
3/1/2021,GU,131,,0,,,,3,0,,2,109867,0,,,,,1,7737,7528,1,0,24,248,,,,7564,,0,117604,1,352,9111,,,,0,117392,0,
3/1/2021,HI,439,439,0,,2214,2214,31,0,,3,,0,,,,,3,28355,27588,29,0,,,,,27477,,1117157,4179,1117157,4179,,,,,,0,,0,
3/1/2021,IA,5472,,1,,,,197,0,,48,1035119,1329,,93389,2392446,,15,280279,280279,240,0,,59842,18571,56368,304008,315443,,0,1315398,1569,,1346025,112011,242163,1317777,1562,2711184,4675,
